n_estimators,max_depth,max_samples,Train_RMSPE,Val_RMSPE
200,,0.6,0.12510336391266605,0.14614081614616176
200,50.0,0.6,0.12510341625156504,0.1461433773298844
100,,0.6,0.1258592114769266,0.14639298049562482
100,50.0,0.6,0.12585931064894457,0.14639756615750885
50,,0.6,0.12424383847334226,0.14784629001280916
50,50.0,0.6,0.12424480199034146,0.14785276326696473
200,,0.8,0.10171846427622777,0.14849096696044312
200,50.0,0.8,0.10171811821421485,0.14849502280347152
100,,0.8,0.10125375377126546,0.14880976676620294
100,50.0,0.8,0.10125358632561951,0.14880995326495025
50,,0.8,0.0982270993275711,0.14910238493667077
50,50.0,0.8,0.09822671455153316,0.14910998570156936
200,20.0,0.6,0.17574722799550374,0.16190645621999675
100,20.0,0.6,0.17773101411968864,0.16191048483480552
50,20.0,0.6,0.1754087850045455,0.1625040939848059
50,20.0,0.8,0.16511206882207366,0.16400085989330002
100,20.0,0.8,0.16701892526379272,0.16404301371895894
200,20.0,0.8,0.16794394883613017,0.1642265204411639
50,20.0,1.0,0.626383541150767,0.5019426285402269
50,50.0,1.0,0.626383541150767,0.5019426285402269
50,,1.0,0.626383541150767,0.5019426285402269
200,50.0,1.0,0.6357997961691659,0.5086488345616145
200,,1.0,0.6357997961691659,0.5086488345616145
200,20.0,1.0,0.6357997961691659,0.5086488345616145
100,50.0,1.0,0.6600578354044995,0.5263157409393017
100,20.0,1.0,0.6600578354044995,0.5263157409393017
100,,1.0,0.6600578354044995,0.5263157409393017
