n_estimators,max_depth,max_samples,max_features,Train_RMSPE,Val_RMSPE
200,50.0,0.8,0.5,0.10076636949420771,0.14313698459860974
200,,0.8,0.5,0.10076573137809365,0.14316238341497528
100,,0.8,0.5,0.09973472698850554,0.14380263929773962
100,50.0,0.8,0.5,0.09973651046794531,0.14380552020384427
200,,0.6,0.5,0.12378606195885974,0.14384542696810884
200,50.0,0.6,0.5,0.12377451379740502,0.14399900933476376
100,,0.6,0.5,0.1250426645494128,0.1444939566967287
100,50.0,0.6,0.5,0.12501859846508345,0.14449487866228333
200,50.0,0.8,sqrt,0.10453336249806608,0.17734345662928153
200,,0.8,sqrt,0.1045389131659777,0.17748083799484582
100,50.0,0.8,sqrt,0.10488683103048761,0.1793753999296063
100,,0.8,sqrt,0.10489942774529229,0.17967460633058516
200,,0.6,sqrt,0.1290627089440696,0.18186407269353708
200,50.0,0.6,sqrt,0.12906337544434596,0.18187381283103116
100,,0.6,sqrt,0.13118835474080837,0.18435709926996222
100,50.0,0.6,sqrt,0.13118835474080837,0.18435709926996222
200,50.0,0.8,1,0.11039041515709419,0.21287156989196704
200,,0.8,1,0.11042496571999692,0.21302018703954623
100,50.0,0.8,1,0.11207052024575391,0.21430352799045677
100,,0.8,1,0.11208992221282017,0.21448610765471984
200,,0.6,1,0.13839268861707152,0.21800291668968438
200,50.0,0.6,1,0.1383499133805131,0.21801423582367718
100,,0.6,1,0.14126486248786138,0.2208880212967146
100,50.0,0.6,1,0.14118236252511177,0.22091034423479203
200,50.0,1.0,0.5,0.6357997961691659,0.5086488345616145
200,50.0,1.0,sqrt,0.6357997961691659,0.5086488345616145
200,,1.0,0.5,0.6357997961691659,0.5086488345616145
200,50.0,1.0,1,0.6357997961691659,0.5086488345616145
200,,1.0,1,0.6357997961691659,0.5086488345616145
200,,1.0,sqrt,0.6357997961691659,0.5086488345616145
100,50.0,1.0,0.5,0.6600578354044995,0.5263157409393017
100,50.0,1.0,sqrt,0.6600578354044995,0.5263157409393017
100,,1.0,sqrt,0.6600578354044995,0.5263157409393017
100,,1.0,1,0.6600578354044995,0.5263157409393017
100,50.0,1.0,1,0.6600578354044995,0.5263157409393017
100,,1.0,0.5,0.6600578354044995,0.5263157409393017
